Rel Start (s),Rel End (s),Interval Duration,Syncs,Acks,Data Packets,Missing Slots,Max Data Gap,Min Data Gap
0.0,13.505262,13.505262,1,3,14,3,2.001187,0.455755
13.997168,19.45323,5.456062,1,1,6,3,2.002579,0.502731
20.519064,21.620278,1.101214,1,5,16,5,0.187915,0.023998
27.995367,28.855491,0.860124,1,3,2,2,0.543943,0.543943
31.994242,39.543607,7.549365,1,3,8,3,1.545316,0.453201
41.992754,48.905276,6.912522,1,3,5,3,2.002412,0.545194
49.137014,49.16403,0.027016,1,2,1,0,0.0,0.0
49.255582,50.478477,1.222895,1,10,14,9,0.164204,0.051542
51.991039,60.406055,8.415016,1,2,8,4,1.543146,0.458787
63.989398,64.30461,0.315212,1,3,1,1,0.0,0.0
67.497576,67.539085,0.041509,1,1,1,0,0.0,0.0
67.781374,68.189003,0.407629,1,5,5,3,0.176779,0.057656
68.19851,69.787092,1.588582,1,2,13,6,0.893823,0.03205
71.98834,80.812708,8.824368,1,3,11,3,1.549201,0.45312
83.986763,86.349203,2.36244,1,3,3,1,1.043703,0.502869
86.524326,87.874179,1.349853,1,8,15,10,0.201415,0.03704
91.984671,103.496626,11.511955,1,3,16,4,1.459964,0.409902
103.982169,106.889706,2.907537,1,3,5,0,1.043665,0.50082
107.045363,108.207715,1.162352,1,8,16,12,0.180595,0.042546
111.981374,121.438998,9.457624,1,3,10,5,1.546944,0.456563
125.979394,128.386449,2.407055,1,3,4,1,1.045455,0.501846
130.526412,131.727747,1.201335,1,4,16,9,0.175279,0.03336
133.978074,146.983423,13.005349,1,3,20,2,0.999747,0.455707
147.450608,147.987442,0.536834,1,4,7,4,0.158594,0.033509
148.050966,149.731923,1.680957,1,1,7,4,1.089467,0.03502
151.975003,159.387723,7.41272,1,3,11,2,1.13538,0.322392
161.973995,166.297596,4.323601,1,3,7,1,0.957951,0.501904
166.561718,167.637478,1.07576,1,5,15,7,0.19762,0.03251
169.971395,172.880116,2.908721,1,3,4,2,1.046303,0.503312
175.970154,181.473348,5.503194,1,3,8,2,1.503811,0.499644
183.970062,188.33398,4.363918,1,3,5,4,1.54383,0.457198
188.537405,189.926444,1.389039,1,7,14,11,0.275175,0.032549
193.968805,194.784261,0.815456,1,3,1,1,0.0,0.0
197.966746,205.381312,7.414566,1,3,6,6,2.0017,0.547265
209.966247,210.782151,0.815904,1,3,1,3,0.0,0.0
213.964221,215.282699,1.318478,1,3,3,0,0.544202,0.456515
215.4765,215.558552,0.082052,1,2,1,0,0.0,0.0
215.606091,216.228358,0.622267,1,9,7,8,0.256,0.032509
216.254871,234.872061,18.61719,1,1,32,9,2.000967,0.034519
236.242265,236.343318,0.101053,1,3,2,3,0.075032,0.075032
236.406848,236.568935,0.162087,1,3,1,0,0.0,0.0
236.625469,237.858592,1.233123,1,4,13,7,0.190658,0.033523
237.961208,243.506588,5.54538,1,1,6,4,1.545963,0.543734
245.958933,253.462771,7.503838,1,3,9,1,2.001705,0.456289
253.958076,257.323815,3.365739,1,2,6,1,1.001171,0.460056
257.474449,258.265432,0.790983,1,7,9,7,0.198809,0.033509
258.275432,261.09429,2.818858,1,1,10,8,0.847603,0.033533
265.956154,268.341938,2.385784,1,3,3,1,1.023876,0.544678
273.956275,284.334228,10.377953,1,3,11,7,1.46339,0.540423
284.909656,284.971201,0.061545,1,1,1,0,0.0,0.0
284.992216,285.005215,0.012999,1,1,1,0,0.0,0.0
285.127789,286.24499,1.117201,1,10,14,17,0.273721,0.02953
291.95268,303.460665,11.507985,1,3,12,8,2.001152,0.455361
306.515897,307.705036,1.189139,1,8,15,16,0.184079,0.032518
309.949768,312.857203,2.907435,1,3,3,3,1.543462,1.04727
315.948449,321.443934,5.495485,1,3,6,3,2.001167,0.544163
323.947648,325.266757,1.319109,1,3,1,0,0.0,0.0
327.946567,328.805298,0.858731,1,3,2,3,0.542981,0.542981
329.092705,331.047759,1.955054,1,6,18,11,0.746634,0.032017
337.944724,341.264802,3.320078,1,3,2,2,2.000913,2.000913
343.944,354.862838,10.918838,1,3,11,6,2.001161,0.500299
355.328412,355.368346,0.039934,1,1,1,0,0.0,0.0
355.392913,355.419672,0.026759,1,2,1,0,0.0,0.0
355.47204,355.604835,0.132795,1,1,1,0,0.0,0.0
355.632465,356.501751,0.869286,1,9,12,11,0.166201,0.023039
359.94196,365.352832,5.410872,1,3,5,3,1.545206,0.455611
367.939775,372.351322,4.411547,1,3,5,4,1.592906,0.410817
375.938969,378.758523,2.819554,1,3,3,3,1.501799,0.502231
379.081237,380.041347,0.96011,1,8,11,6,0.28878,0.025532
380.051981,381.434089,1.382108,1,1,8,5,0.569068,0.034064
