Rel Start (s),Rel End (s),Interval Duration,Syncs,Acks,Data Packets,Missing Slots,Max Data Gap,Min Data Gap
0.0,95.384731,95.384731,1,3,144,1,1.104704,0.422329
97.983352,193.367619,95.384267,1,3,144,3,1.10539,0.42194
195.966801,291.351644,95.384843,1,3,144,1,1.104797,0.421182
293.950979,391.336768,97.385789,1,3,147,1,1.115142,0.413159
393.932511,489.318532,95.386021,1,3,144,3,1.105345,0.418705
491.915993,587.301416,95.385423,1,3,144,2,1.102661,0.423273
589.899552,685.284139,95.384587,1,3,144,2,1.104497,0.423418
687.881426,783.265107,95.383681,1,3,144,1,1.104945,0.423001
785.865473,881.249466,95.383993,1,3,144,0,1.105379,0.422492
883.847893,979.232695,95.384802,1,3,144,1,1.104897,0.422425
981.831192,1077.217125,95.385933,1,3,144,0,1.102959,0.418324
1079.813652,1175.199773,95.386121,1,3,144,0,1.102941,0.422563
1177.797464,1273.183707,95.386243,1,3,144,1,1.103321,0.422842
1275.780837,1371.166157,95.38532,1,3,144,2,1.104151,0.42471
1373.763805,1469.147219,95.383414,1,3,144,3,1.105507,0.422101
1471.747209,1567.131747,95.384538,1,3,144,0,1.104578,0.421961
1569.730869,1665.115997,95.385128,1,3,144,0,1.105675,0.42203
1667.713572,1763.100535,95.386963,1,3,144,3,1.102945,0.423789
1765.697208,1861.082767,95.385559,1,3,144,3,1.102815,0.423467
1863.678725,1959.064949,95.386224,1,3,144,1,1.103903,0.421438
1961.662283,2057.046986,95.384703,1,3,144,1,1.105346,0.422255
2059.644916,2155.028759,95.383843,1,3,144,1,1.10408,0.421948
2157.628695,2253.012596,95.383901,1,3,144,2,1.104009,0.422932
2255.611536,2350.996506,95.38497,1,3,144,3,1.104875,0.423759
2353.594999,2448.98106,95.386061,1,2,144,2,1.103939,0.420994
2451.578367,2544.962202,93.383835,1,3,141,1,1.102088,0.423497
2547.560462,2642.945835,95.385373,1,3,144,2,1.103716,0.419884
2645.543218,2740.927713,95.384495,1,3,144,3,1.104005,0.422325
2743.526359,2838.910091,95.383732,1,3,144,3,1.104938,0.423386
2841.508914,2936.892201,95.383287,1,3,144,2,1.105688,0.422428
2939.490732,3034.874956,95.384224,1,3,144,1,1.104673,0.421396
3037.473056,3132.858797,95.385741,1,3,144,0,1.10572,0.420543
3135.456724,3230.841324,95.3846,1,3,144,3,1.103147,0.422322
3233.447459,3332.820769,99.37331,1,3,150,3,1.106762,0.420126
3335.422721,3430.806056,95.383335,1,3,144,1,1.104896,0.424054
3433.405928,3528.789919,95.383991,1,3,144,2,1.105233,0.422248
3531.389082,3626.774356,95.385274,1,3,144,1,1.103859,0.423177
3629.372536,3724.759029,95.386493,1,3,144,2,1.102868,0.422124
3727.355685,3822.741417,95.385732,1,3,144,1,1.101451,0.423191
3825.340001,3920.725823,95.385822,1,3,144,1,1.103893,0.422062
3923.323561,4018.707957,95.384396,1,3,144,3,1.104284,0.42241
4021.305843,4116.689982,95.384139,1,3,144,1,1.105457,0.421647
4119.290181,4214.674684,95.384503,1,3,144,1,1.104898,0.420985
4217.273122,4312.659311,95.386189,1,3,144,2,1.104952,0.421176
4315.256042,4410.641162,95.38512,1,3,144,1,1.1032,0.42263
4413.238444,4508.625053,95.386609,1,3,144,3,1.102601,0.423748
4511.220705,4606.605967,95.385262,1,3,144,3,1.104293,0.42365
4609.20576,4704.589812,95.384052,1,3,144,3,1.10361,0.421675
4707.188838,4802.573716,95.384878,1,3,144,3,1.105827,0.422201
4805.170837,4900.555779,95.384942,1,3,144,1,1.103678,0.422914
4903.154006,4998.539385,95.385379,1,3,144,3,1.10471,0.423069
5001.136427,5096.522813,95.386386,1,3,144,1,1.103659,0.422292
5099.120534,5194.506382,95.385848,1,3,144,0,1.10389,0.422028
5197.103237,5292.487308,95.384071,1,3,144,3,1.105175,0.421431
5295.086039,5390.470915,95.384876,1,3,144,2,1.104447,0.421522
5393.070054,5488.45329,95.383236,1,3,144,0,1.104987,0.423341
5491.053375,5586.438152,95.384777,1,3,144,0,1.103311,0.424039
5589.035633,5684.4207,95.385067,1,3,144,0,1.105011,0.423155
5687.019235,5782.405235,95.386,1,3,144,1,1.099886,0.423748
5785.00201,5880.386937,95.384927,1,3,144,2,1.117386,0.405621
5882.985262,5978.369849,95.384587,1,3,144,2,1.103006,0.422589
5980.967979,6076.352854,95.384875,1,3,144,3,1.104367,0.423829
6078.950895,6174.335428,95.384533,1,3,144,3,1.10475,0.4229
6176.934191,6272.318187,95.383996,1,3,144,1,1.104807,0.422685
6274.916478,6370.302822,95.386344,1,3,144,1,1.104926,0.422036
6372.900169,6468.285848,95.385679,1,3,144,0,1.10281,0.422228
6470.882886,6566.26928,95.386394,1,3,144,1,1.102686,0.423505
6568.86644,6664.251542,95.385102,1,3,144,3,1.104363,0.423689
6666.848839,6762.233499,95.38466,1,3,144,3,1.100828,0.423501
6764.832906,6860.216954,95.384048,1,3,144,1,1.105232,0.421227
6862.814455,6958.198504,95.384049,1,3,144,1,1.10467,0.42162
6960.79932,7056.18507,95.38575,1,3,144,0,1.101958,0.423222
7058.782331,7154.168896,95.386565,1,3,144,1,1.103241,0.423568
7156.766654,7252.152041,95.385387,1,3,144,3,1.103254,0.422795
7254.74905,7350.135604,95.386554,1,3,144,3,1.104042,0.421967
7352.732702,7448.117505,95.384803,1,3,144,3,1.10488,0.421543
7450.716122,7546.100113,95.383991,1,3,144,1,1.104761,0.422294
7548.697819,7644.082729,95.38491,1,3,144,3,1.104225,0.42138
7646.682147,7742.067538,95.385391,1,3,144,3,1.105644,0.423441
7744.666113,7840.051978,95.385865,1,3,144,1,1.104192,0.421378
7842.649483,7936.033543,93.38406,1,3,141,1,1.102851,0.422416
7938.632416,8034.018248,95.385832,1,3,144,3,1.105325,0.421872
8036.615323,8132.001519,95.386196,1,3,144,0,1.103222,0.424001
8134.598751,8229.983782,95.385031,1,3,144,1,1.102413,0.423905
8232.582145,8327.967317,95.385172,1,3,144,2,1.104672,0.422373
8330.565569,8425.950477,95.384908,1,3,144,3,1.105375,0.422301
8428.548248,8523.934189,95.385941,1,3,144,2,1.104616,0.422716
