Rel Start (s),Rel End (s),Interval Duration,Syncs,Acks,Data Packets,Missing Slots,Max Data Gap,Min Data Gap
0.0,156.874006,156.874006,1,3,236,3,1.011957,0.38483
156.948912,158.142411,1.193499,1,1,15,3,0.386755,0.032048
160.350349,313.814222,153.463873,1,3,229,2,1.984583,0.402706
314.820418,316.129125,1.308707,1,3,16,6,0.368804,0.032085
320.700693,475.572972,154.872279,1,3,233,1,1.013315,0.387201
475.678581,476.987245,1.308664,1,4,15,5,0.476965,0.032496
479.046974,633.919996,154.873022,1,3,233,2,1.01298,0.387119
634.038653,635.347998,1.309345,1,3,15,5,0.397231,0.032354
639.397564,792.871046,153.473482,1,3,231,2,1.026436,0.38998
793.871707,795.177428,1.305721,1,4,17,7,0.376346,0.031034
799.748467,952.619954,152.871487,1,3,230,3,1.011482,0.389228
953.275571,954.110568,0.834997,1,2,14,7,0.163621,0.031549
956.091172,1111.09806,155.006888,1,3,231,4,1.987745,0.411714
1111.572059,1112.457797,0.885738,1,4,13,7,0.150638,0.033067
1116.441004,1269.312117,152.871113,1,3,230,0,1.032173,0.388411
1269.482025,1270.768167,1.286142,1,2,14,6,0.345807,0.03417
1274.786926,1428.260234,153.473308,1,2,231,1,1.041483,0.388166
1429.2647,1430.574401,1.309701,1,4,14,6,0.494229,0.032522
1433.132739,1586.60543,153.472691,1,3,231,2,1.030336,0.371029
1587.676513,1588.62631,0.949797,1,2,16,5,0.102385,0.032684
1591.478645,1744.952928,153.474283,1,3,231,1,1.010883,0.390439
1745.964695,1747.271427,1.306732,1,4,16,10,0.373928,0.02302
1751.829507,1905.302551,153.473044,1,3,231,1,1.012353,0.389915
1906.355081,1907.267065,0.911984,1,2,16,6,0.128041,0.031633
1910.17492,2063.703051,153.528131,1,3,229,1,1.994592,0.418527
2064.688631,2065.7626,1.073969,1,2,16,6,0.172599,0.032511
2068.520011,2223.393292,154.873281,1,3,233,0,1.012519,0.387505
2223.538952,2224.845901,1.306949,1,5,13,4,0.439082,0.032652
2226.86657,2380.340119,153.473549,1,2,229,2,1.98581,0.399186
2381.347743,2382.65333,1.305587,1,4,14,8,0.44353,0.032765
2385.21303,2540.086034,154.873004,1,3,233,1,1.011143,0.387488
2540.194794,2541.499958,1.305164,1,4,14,5,0.442262,0.032751
2543.559473,2697.032855,153.473382,1,2,231,1,1.011181,0.389091
2698.181312,2699.671244,1.489932,1,2,15,4,0.415417,0.033422
2701.906332,2854.776981,152.870649,1,2,230,1,1.035094,0.388757
2855.396447,2856.280747,0.8843,1,3,13,8,0.147942,0.032293
2860.251793,3013.1227,152.870907,1,3,230,1,1.011851,0.389135
3013.315523,3014.291074,0.975551,1,4,14,7,0.283554,0.03334
3016.594051,3170.067444,153.473393,1,3,231,2,1.0115,0.390004
3171.084777,3172.388389,1.303612,1,2,15,6,0.45739,0.032563
3174.938997,3328.411972,153.472975,1,3,231,1,1.040351,0.363483
3329.424854,3330.731972,1.307118,1,3,14,6,0.331741,0.032302
3333.284346,3486.756982,153.472636,1,3,231,0,1.0115,0.390114
3487.953644,3489.185616,1.231972,1,2,14,6,0.326271,0.034517
3491.630773,3644.671208,153.040435,1,3,226,3,1.998994,0.451437
3645.121661,3646.087224,0.965563,1,5,14,4,0.236167,0.017568
3647.972253,3802.84383,154.871577,1,3,233,1,1.012044,0.387724
3802.994484,3804.300348,1.305864,1,4,15,4,0.358882,0.032055
3806.31826,3959.790832,153.472572,1,3,231,0,1.012844,0.388857
3960.795645,3962.103508,1.307863,1,4,16,7,0.320655,0.024617
3964.664141,4118.138975,153.474834,1,3,231,0,1.01204,0.388223
4119.197037,4120.164256,0.967219,1,2,15,5,0.109964,0.034128
4123.011975,4277.884239,154.872264,1,3,233,1,1.012519,0.387354
4278.006396,4279.31357,1.307174,1,4,16,8,0.366002,0.03181
4281.35574,4434.829712,153.473972,1,3,231,1,1.01144,0.389793
4435.920659,4437.656936,1.736277,1,2,16,3,0.771235,0.033058
4439.703155,4594.225455,154.5223,1,3,230,4,1.989069,0.434841
4594.688352,4595.992483,1.304131,1,3,17,6,0.437185,0.032663
4598.049023,4751.522167,153.473144,1,3,231,3,1.014099,0.388257
4752.55899,4753.865763,1.306773,1,4,16,8,0.426017,0.031693
4756.396073,4909.869323,153.47325,1,3,231,1,1.011834,0.387438
4910.919003,4911.836816,0.917813,1,2,16,7,0.144559,0.032256
4914.741266,5069.61341,154.872144,1,3,233,0,1.040667,0.38746
5069.730151,5071.035863,1.305712,1,4,16,6,0.420302,0.03227
5073.089268,5225.960252,152.870984,1,3,230,3,1.012316,0.390006
5226.618917,5227.446258,0.827341,1,2,13,3,0.139802,0.034533
5229.429725,5384.301394,154.871669,1,3,233,3,1.011628,0.388735
5384.954921,5385.807355,0.852434,1,2,14,5,0.122414,0.032214
5389.780392,5544.652471,154.872079,1,3,233,1,1.012485,0.387838
5544.77559,5546.085472,1.309882,1,4,16,6,0.420188,0.020985
5548.124894,5701.597758,153.472864,1,3,231,3,1.014102,0.388948
5702.652409,5704.298876,1.646467,1,2,15,4,0.855292,0.023446
5706.470714,5859.942942,153.472228,1,3,231,2,1.043756,0.378937
5860.99732,5861.874211,0.876891,1,2,14,3,0.103554,0.033646
5864.816224,6019.334219,154.517995,1,3,230,3,1.986157,0.378235
6019.789512,6021.0984,1.308888,1,4,16,8,0.38118,0.033223
6023.162962,6176.033923,152.870961,1,3,230,3,1.010943,0.389118
6176.692623,6177.509684,0.817061,1,3,11,4,0.222917,0.03381
6179.504867,6334.376519,154.871652,1,3,233,0,1.022358,0.387643
6334.983958,6335.937422,0.953464,1,3,15,6,0.163157,0.032321
6337.850995,6492.723133,154.872138,1,3,233,1,1.028725,0.387284
6492.832215,6494.138321,1.306106,1,4,15,5,0.327744,0.036016
6496.197231,6649.6703,153.473069,1,3,231,0,1.027737,0.3884
6650.691371,6651.996152,1.304781,1,3,16,5,0.308718,0.032416
6656.598884,6811.414109,154.815225,1,3,233,1,1.012698,0.386657
6811.51405,6812.832384,1.318334,1,5,16,5,0.233307,0.031843
6814.894527,6968.36755,153.473023,1,3,231,3,1.03968,0.389395
6969.39365,6970.699253,1.305603,1,3,15,3,0.429472,0.031512
6975.244215,7128.116239,152.872024,1,3,230,2,1.029992,0.390858
7128.75029,7129.661018,0.910728,1,4,15,3,0.148606,0.0324
7131.585889,7286.457202,154.871313,1,3,233,3,1.022482,0.387716
7286.568132,7287.878491,1.310359,1,4,14,8,0.401732,0.03314
7289.932482,7444.447734,154.515252,1,3,230,1,2.000374,0.391482
7444.924582,7446.229099,1.304517,1,4,15,4,0.419245,0.031973
7448.278643,7601.751743,153.4731,1,3,231,3,1.012214,0.388516
7602.756417,7604.062371,1.305954,1,4,17,6,0.368168,0.031913
7608.628687,7762.102672,153.473985,1,3,231,1,1.021074,0.388686
7763.140469,7763.917861,0.777392,1,2,15,8,0.146569,0.031511
7766.973725,7920.44592,153.472195,1,3,231,0,1.011978,0.390361
7921.469232,7922.77567,1.306438,1,4,17,8,0.240628,0.029014
7925.320272,8078.792569,153.472297,1,3,231,0,1.023301,0.389441
8079.797718,8081.103219,1.305501,1,3,16,8,0.331877,0.024242
8085.671414,8239.143718,153.472304,1,3,231,3,1.011733,0.389969
8240.237948,8241.079003,0.841055,1,2,15,6,0.123668,0.03295
8244.016699,8397.489513,153.472814,1,3,231,3,1.01527,0.388342
8398.499209,8399.805045,1.305836,1,3,16,4,0.461349,0.033509
8404.367323,8557.842066,153.474743,1,3,231,3,1.012322,0.388537
8558.840429,8560.146056,1.305627,1,4,16,11,0.326923,0.033155
8562.713689,8716.186547,153.472858,1,3,231,2,1.017117,0.390176
