Rel Start (s),Rel End (s),Interval Duration,Syncs,Acks,Data Packets,Missing Slots,Max Data Gap,Min Data Gap
0.0,46.860322,46.860322,1,3,71,3,1.051331,0.461867
46.921532,47.736095,0.814563,1,1,15,4,0.11574,0.022996
49.990233,94.848984,44.858751,1,3,68,3,1.047962,0.46358
94.990999,96.022983,1.031984,1,4,14,5,0.151503,0.039418
97.980403,142.840188,44.859785,1,3,68,0,1.047626,0.464737
142.948274,143.816388,0.868114,1,4,14,6,0.217783,0.032558
147.97071,191.31609,43.34538,1,3,66,3,1.04587,0.467361
191.495239,192.014569,0.51933,1,4,7,3,0.124482,0.03243
195.960968,238.351779,42.390811,1,3,64,1,1.043813,0.468773
238.458682,239.757163,1.298481,1,4,16,5,0.28698,0.029793
241.951075,284.880158,42.929083,1,3,63,4,1.994678,0.476351
285.437078,286.057071,0.619993,1,2,11,3,0.110256,0.032316
335.932472,379.279297,43.346825,1,3,66,3,1.046425,0.464957
379.41536,380.028376,0.613016,1,5,9,7,0.151659,0.033268
429.914852,473.26143,43.346578,1,3,66,1,1.043774,0.467174
473.526857,473.904069,0.377212,1,1,5,2,0.218953,0.032853
477.905593,521.25345,43.347857,1,3,66,3,1.045635,0.465422
521.400756,522.166061,0.765305,1,5,12,6,0.173454,0.032274
525.897153,568.755107,42.857954,1,3,65,3,1.04617,0.46608
568.939528,569.93166,0.992132,1,4,15,8,0.149854,0.025263
573.888441,617.235183,43.346742,1,3,66,3,1.045618,0.465802
617.419032,617.918123,0.499091,1,4,5,3,0.319115,0.046802
665.872195,710.731634,44.859439,1,3,68,0,1.046303,0.464197
710.809708,711.809956,1.000248,1,5,14,10,0.206234,0.033099
713.862607,758.257883,44.395276,1,3,67,1,1.047236,0.466394
758.404677,759.703109,1.298432,1,4,16,2,0.247878,0.033028
761.854708,805.203848,43.34914,1,3,66,3,1.04637,0.464966
805.315033,805.919462,0.604429,1,4,8,3,0.189878,0.034035
855.838395,898.695596,42.857201,1,3,65,3,1.044007,0.467172
898.831481,899.693568,0.862087,1,4,14,6,0.135819,0.03275
901.829177,947.180087,45.35091,1,3,69,2,1.049348,0.463094
947.299727,947.920017,0.62029,1,4,9,6,0.115365,0.038893
951.820814,994.679054,42.85824,1,3,65,0,1.046044,0.45052
994.798502,995.715428,0.916926,1,4,14,4,0.211476,0.02949
999.81252,1042.670412,42.857892,1,3,65,2,1.04095,0.466143
1042.875082,1043.837591,0.962509,1,2,14,4,0.113095,0.021522
1045.804179,1090.664205,44.860026,1,3,68,1,1.046812,0.465254
1090.784883,1091.731718,0.946835,1,4,14,5,0.139836,0.032126
1095.794296,1139.142777,43.348481,1,3,66,1,1.046368,0.465872
1139.3156,1139.847635,0.532035,1,4,7,4,0.17304,0.033289
1189.778798,1233.126318,43.34752,1,3,66,1,1.046904,0.466286
1233.303564,1233.856132,0.552568,1,4,7,6,0.272126,0.034001
1237.768697,1280.627443,42.858746,1,3,65,3,1.045498,0.466134
1280.75491,1281.73625,0.98134,1,4,13,6,0.1502,0.022015
1285.761639,1328.6195,42.857861,1,3,65,1,1.045012,0.466133
1328.792232,1329.739025,0.946793,1,4,14,8,0.149275,0.032919
1331.753211,1377.102738,45.349527,1,3,69,1,1.047172,0.46512
1377.25493,1377.990981,0.736051,1,4,12,4,0.144841,0.034157
