Rel Start (s),Rel End (s),Interval Duration,Syncs,Acks,Data Packets,Missing Slots,Max Data Gap,Min Data Gap
0.0,0.320593,0.320593,1,3,1,3,0.0,0.0
4.017565,15.477803,11.460238,1,3,13,2,2.000996,0.449836
16.021193,27.561717,11.540524,1,1,17,1,1.040812,0.463912
30.026528,30.346317,0.319789,1,3,1,1,0.0,0.0
34.027414,36.924901,2.897487,1,3,4,4,1.040631,0.576936
40.029545,50.993107,10.963562,1,3,14,3,1.056098,0.448126
54.03461,65.542344,11.507734,1,3,14,5,2.001041,0.400051
68.039176,79.51505,11.475874,1,3,18,3,1.008896,0.448489
80.042628,82.411999,2.369371,1,1,2,1,1.040311,1.040311
86.060617,95.56755,9.506933,1,3,10,3,1.055605,0.51207
98.065221,103.554599,5.489378,1,3,5,2,1.537329,0.54368
106.067173,117.606787,11.539614,1,3,12,6,1.999381,0.511345
118.070955,129.083372,11.012417,1,2,13,3,2.000637,0.416436
130.075602,139.630101,9.554499,1,3,13,2,1.136261,0.400469
140.079103,149.586289,9.507186,1,2,12,2,1.552675,0.416004
152.082371,165.527498,13.445127,1,3,18,5,1.536479,0.447707
166.102655,170.552843,4.450188,1,1,4,3,1.55221,0.544498
174.105712,183.516973,9.411261,1,3,12,4,1.45644,0.416065
190.111061,197.698234,7.587173,1,3,10,1,1.551795,0.496166
198.11415,203.572265,5.458115,1,1,5,3,2.000128,0.543524
206.116728,213.478702,7.361974,1,3,12,2,0.961012,0.447625
213.703136,213.750771,0.047635,1,1,1,0,0.0,0.0
213.766895,214.167066,0.400171,1,4,5,3,0.144675,0.063702
214.167066,215.815534,1.648468,1,1,14,7,0.512107,0.03143
222.121775,229.884025,7.76225,1,5,9,10,1.552415,0.256115
230.124785,245.650066,15.525281,1,2,16,6,2.000666,0.448413
246.146239,256.597664,10.451425,1,2,11,4,1.553202,0.447819
260.150889,267.545241,7.394352,1,3,10,4,1.536967,0.447833
274.155061,283.662013,9.506952,1,3,15,2,1.056578,0.448033
284.158159,291.521079,7.36292,1,2,12,1,1.104904,0.447719
294.161882,299.619805,5.457923,1,3,9,3,1.104382,0.416793
304.165298,315.673249,11.507951,1,3,15,2,2.00055,0.464491
320.169913,325.723754,5.553841,1,3,9,2,1.056929,0.398991
328.188494,339.729248,11.540754,1,3,15,3,1.535871,0.416157
342.194051,355.605776,13.411725,1,3,12,7,2.000843,0.448943
358.199139,363.559676,5.360537,1,2,7,2,1.456914,0.496666
368.20192,387.72912,19.5272,1,3,23,8,1.552247,0.448179
