Rel Start (s),Rel End (s),Interval Duration,Syncs,Acks,Data Packets,Missing Slots,Max Data Gap,Min Data Gap
0.0,10.094417,10.094417,1,3,27,7,1.049194,0.031953
11.997976,18.366578,6.368602,1,3,10,1,1.003998,0.4549
18.469796,19.540463,1.070667,1,4,16,9,0.185317,0.032506
21.996466,27.318185,5.321719,1,3,9,1,1.043337,0.45673
27.475153,28.008893,0.53374,1,6,7,6,0.14499,0.03282
29.994414,36.409191,6.414777,1,1,8,2,2.003196,0.413675
36.527391,37.522912,0.995521,1,5,16,6,0.203059,0.031373
41.993001,47.314228,5.321227,1,3,9,0,1.045375,0.455055
47.422932,47.989251,0.566319,1,6,6,5,0.19405,0.044705
53.990218,58.315183,4.324965,1,3,7,3,1.004152,0.496268
58.462782,58.525215,0.062433,1,1,1,0,0.0,0.0
58.57265,59.657174,1.084524,1,5,17,9,0.170918,0.028001
61.989217,68.317416,6.328199,1,3,10,3,0.963765,0.496774
68.444219,69.862322,1.418103,1,6,19,10,0.285474,0.032473
71.987968,76.808934,4.820966,1,3,8,2,1.005013,0.496488
76.925741,78.110379,1.184638,1,6,17,7,0.190766,0.033024
79.986505,87.352455,7.36595,1,3,9,3,1.54414,0.45374
87.499591,88.086999,0.587408,1,6,8,6,0.157894,0.031618
91.983879,97.30585,5.321971,1,3,7,3,1.048877,0.456565
97.486104,98.219884,0.73378,1,7,9,9,0.166934,0.034235
98.230795,99.912121,1.681326,1,1,10,3,0.601952,0.033324
101.983312,106.804224,4.820912,1,3,7,3,1.048198,0.452956
106.977023,107.905344,0.928321,1,9,11,7,0.19105,0.041807
113.980987,118.347229,4.366242,1,3,5,1,1.046402,0.457351
118.506121,119.944862,1.438741,1,7,17,12,0.291744,0.023028
121.979102,127.300019,5.320917,1,3,9,1,1.003757,0.455363
127.467561,128.222921,0.75536,1,5,12,8,0.137953,0.021378
128.232987,129.869826,1.636839,1,1,10,6,0.544104,0.032504
131.977343,135.342575,3.365232,1,3,6,1,1.000492,0.498555
135.509357,136.071279,0.561922,1,7,8,6,0.22689,0.036394
139.975425,144.343088,4.367663,1,3,6,1,1.001874,0.453394
144.440402,145.747016,1.306614,1,7,17,9,0.218649,0.033942
147.974123,154.344343,6.37022,1,3,9,2,1.045653,0.462867
154.465139,155.807768,1.342629,1,6,18,7,0.224835,0.023815
155.972654,162.840698,6.868044,1,1,9,1,1.04825,0.455323
162.878562,163.992089,1.113527,1,4,15,4,0.216317,0.033358
165.971362,171.339465,5.368103,1,3,9,1,1.000771,0.50051
171.43426,173.814651,2.380391,1,5,18,7,0.971996,0.031955
173.969515,178.790058,4.820543,1,1,7,1,1.003714,0.451821
178.915773,179.957037,1.041264,1,5,15,9,0.199155,0.032852
181.968974,190.386337,8.417363,1,3,10,3,1.544832,0.453914
190.49817,191.806588,1.308418,1,6,15,6,0.276859,0.034579
193.966881,200.293612,6.326731,1,3,10,1,1.003521,0.497216
200.406414,201.736283,1.329869,1,6,16,7,0.25552,0.032609
201.964866,209.380796,7.41593,1,1,10,1,1.043848,0.495835
209.442079,210.075469,0.63339,1,2,11,4,0.115186,0.033684
215.963345,220.328822,4.365477,1,3,7,2,1.045366,0.455671
220.424351,220.469412,0.045061,1,1,1,0,0.0,0.0
220.500944,221.539592,1.038648,1,5,16,10,0.194594,0.032708
223.960831,229.328725,5.367894,1,3,9,1,1.00281,0.45604
229.435,230.431832,0.996832,1,7,14,9,0.181268,0.023666
233.960129,238.824197,4.864068,1,3,8,3,1.045278,0.497512
239.044599,240.166742,1.122143,1,4,17,6,0.148935,0.032551
241.957998,247.324515,5.366517,1,3,9,3,0.96025,0.495653
247.458756,248.078975,0.620219,1,6,9,6,0.107231,0.033563
255.266312,256.105575,0.839263,1,2,14,3,0.131666,0.032906
259.956003,264.28003,4.324027,1,3,7,0,1.003617,0.497501
264.461786,265.573885,1.112099,1,5,15,8,0.202268,0.033064
267.953803,273.319932,5.366129,1,3,9,3,1.045457,0.412599
273.442132,273.947045,0.504913,1,7,5,2,0.293305,0.025546
277.952351,282.817536,4.865185,1,3,8,2,1.043438,0.45457
282.939239,283.939454,1.000215,1,7,13,4,0.323493,0.03529
287.95025,292.274591,4.324341,1,3,7,3,1.003422,0.456728
292.423586,293.970885,1.547299,1,6,18,5,0.383418,0.033079
293.981402,298.82531,4.843908,1,1,8,1,0.959302,0.470186
298.877079,299.696955,0.819876,1,3,12,4,0.179202,0.026785
