Rel Start (s),Rel End (s),Interval Duration,Syncs,Acks,Data Packets,Missing Slots,Max Data Gap,Min Data Gap
0.0,17.468229,17.468229,1,3,27,1,1.093584,0.452816
19.99752,47.535657,27.538137,1,3,41,1,1.087126,0.453694
47.991073,71.449927,23.458854,1,1,32,3,1.504606,0.455291
73.986444,83.445654,9.45921,1,3,15,3,1.002091,0.456233
85.983425,105.504986,19.521561,1,3,30,1,1.089719,0.454673
107.979699,145.49834,37.518641,1,3,57,3,1.04577,0.456371
147.972768,165.444028,17.47126,1,3,27,3,1.096699,0.451558
167.969354,199.444896,31.475542,1,3,48,0,1.057784,0.372011
201.962114,229.433859,27.471745,1,3,42,1,1.090071,0.443842
229.958453,237.372446,7.413993,1,1,10,1,1.088344,0.45577
239.955453,269.440254,29.484801,1,3,44,3,1.095399,0.444283
271.9491,276.770144,4.821044,1,3,8,3,1.046046,0.454304
277.137591,277.907229,0.769638,1,1,12,4,0.129096,0.041438
281.947653,305.467082,23.519429,1,3,36,0,1.05038,0.450106
307.944398,351.42887,43.484472,1,3,66,2,1.100438,0.437252
353.936173,389.441946,35.505773,1,3,53,3,1.064998,0.411305
391.927467,401.342947,9.41548,1,3,15,3,1.090591,0.454889
403.926169,421.390088,17.463919,1,2,27,2,1.046284,0.455407
423.923197,467.446415,43.523218,1,3,66,1,1.080905,0.402087
469.914698,501.421067,31.506369,1,3,48,0,1.109298,0.430385
503.907318,515.367421,11.460103,1,3,18,2,1.045655,0.45544
517.906236,529.320739,11.414503,1,3,18,0,1.052328,0.404798
531.90385,554.741152,22.837302,1,3,35,2,1.045675,0.444149
555.13818,556.15021,1.01203,1,5,14,10,0.113078,0.034019
556.246249,557.507705,1.261456,1,1,4,2,0.545177,0.161628
559.897673,613.359961,53.462288,1,3,81,0,1.103647,0.441314
615.888078,647.338994,31.450916,1,3,48,3,1.077443,0.448709
649.881447,671.318306,21.436859,1,3,32,2,1.075537,0.456315
673.878354,711.412238,37.533884,1,3,57,3,1.006728,0.446391
713.870376,718.70494,4.834564,1,3,8,2,1.001031,0.454039
721.869969,749.258657,27.388688,1,3,42,0,1.090948,0.366096
751.862788,771.284343,19.421555,1,3,29,3,1.092845,0.434824
773.86012,803.390154,29.530034,1,3,45,1,1.055684,0.408783
805.853648,832.758759,26.905111,1,3,41,2,1.007318,0.455178
833.156642,834.134376,0.977734,1,6,13,5,0.166345,0.03402
837.848287,883.345981,45.497694,1,3,68,3,1.549406,0.436838
