Rel Start (s),Rel End (s),Interval Duration,Syncs,Acks,Data Packets,Missing Slots,Max Data Gap,Min Data Gap
0.0,39.492556,39.492556,1,3,60,0,1.100918,0.444947
41.993392,67.464054,25.470662,1,3,39,2,1.014308,0.445715
69.987294,83.155734,13.16844,1,4,21,2,0.969884,0.258067
87.984825,113.466463,25.481638,1,3,39,1,1.100189,0.446996
113.981233,131.412083,17.43085,1,1,25,1,1.076836,0.45571
133.977006,169.473863,35.496857,1,3,53,2,1.055025,0.454846
169.97029,229.330978,59.360688,1,2,89,1,1.106437,0.362629
231.958974,261.296295,29.337321,1,3,44,0,1.150301,0.276929
263.95333,276.915532,12.962202,1,3,19,4,1.044966,0.492146
277.142386,277.952355,0.809969,1,1,15,3,0.083706,0.033073
279.950981,301.464163,21.513182,1,3,32,2,1.546301,0.448121
303.946864,339.494652,35.547788,1,3,52,2,1.067435,0.455738
339.940417,379.384034,39.443617,1,1,59,1,1.091405,0.41244
381.93275,421.428528,39.495778,1,3,60,1,1.105546,0.439305
423.926626,449.451418,25.524792,1,3,39,2,1.002234,0.454949
449.921299,473.351595,23.430296,1,1,34,1,1.090443,0.413313
475.916856,490.921827,15.004971,1,3,23,2,1.089437,0.448868
491.912576,523.484911,31.572335,1,1,46,1,1.047746,0.448179
525.907562,554.75195,28.844388,1,3,44,0,1.017835,0.440407
555.093383,556.066426,0.973043,1,4,14,5,0.209261,0.033107
557.902309,581.325864,23.423555,1,3,36,0,1.091608,0.409143
583.898087,607.334864,23.436777,1,3,36,3,1.074921,0.451219
609.894252,635.419612,25.52536,1,3,39,1,1.097253,0.450269
635.888764,665.428345,29.539581,1,1,42,2,2.001749,0.449782
667.883355,703.414733,35.531378,1,3,53,1,1.091124,0.447654
705.877999,731.351382,25.473383,1,3,39,0,1.093998,0.450095
731.871759,743.296128,11.424369,1,1,16,1,1.085844,0.455437
743.870046,769.356295,25.486249,1,1,39,1,0.999811,0.440425
769.865659,785.290495,15.424836,1,1,21,2,1.076662,0.428865
787.862948,813.42882,25.565872,1,3,35,4,2.003885,0.363593
815.857029,832.786637,16.929608,1,3,26,2,1.007331,0.456802
833.100366,834.128258,1.027892,1,3,15,5,0.21876,0.033127
835.854772,871.334964,35.480192,1,3,53,4,1.115855,0.351755
873.847963,907.329587,33.481624,1,3,50,3,1.063177,0.451526
909.840419,943.338704,33.498285,1,3,51,3,1.102105,0.439129
943.834607,961.352205,17.517598,1,1,23,2,2.004624,0.457055
963.832421,993.309022,29.476601,1,3,45,2,1.008876,0.456066
995.826095,1031.266092,35.439997,1,3,54,2,1.088836,0.452955
