Rel Start (s),Rel End (s),Interval Duration,Syncs,Acks,Data Packets,Missing Slots,Max Data Gap,Min Data Gap
0.0,10.958415,10.958415,1,3,11,5,2.002851,0.500676
14.03099,17.35209,3.3211,1,3,3,1,1.043114,0.959654
20.044776,28.99917,8.954394,1,3,11,4,1.999166,0.453562
32.070077,38.393059,6.322982,1,3,6,3,2.002669,0.459168
42.092474,53.139419,11.046945,1,3,15,3,1.543632,0.499431
56.12188,69.584542,13.462662,1,3,17,5,2.001304,0.457007
72.157723,89.663405,17.505682,1,3,18,7,2.002432,0.458794
92.200918,98.610033,6.409115,1,3,7,4,1.545898,0.459007
102.222683,116.684754,14.462071,1,3,19,4,1.544124,0.503724
120.260428,131.257885,10.997457,1,3,13,6,1.545129,0.454849
134.292155,140.703629,6.411474,1,3,7,2,1.546958,0.454757
144.313412,157.775444,13.462032,1,3,17,3,2.00232,0.457035
160.348525,163.711297,3.362772,1,3,5,1,0.998781,0.455269
166.361715,177.908168,11.546453,1,3,15,2,1.453426,0.455021
180.392907,182.754303,2.361396,1,3,4,1,1.0441,0.497965
186.404819,196.902782,10.497963,1,3,12,5,1.544886,0.498567
200.436459,216.029541,15.593082,1,3,16,8,2.001896,0.457453
218.475202,235.568861,17.093659,1,3,17,9,2.00131,0.457201
238.518338,239.837553,1.319215,1,3,1,0,0.0,0.0
244.530719,251.856555,7.325836,1,3,10,2,2.001478,0.457245
258.562797,276.12072,17.557923,1,3,21,7,2.002891,0.451506
278.606852,280.924098,2.317246,1,3,2,2,2.002683,2.002683
288.627441,297.492693,8.865252,1,3,10,4,1.54746,0.453488
304.661521,318.209513,13.547992,1,3,17,3,2.001295,0.408409
318.692014,323.602438,4.910424,1,1,4,2,2.001702,0.543608
330.71933,331.035154,0.315824,1,3,1,0,0.0,0.0
334.727499,337.087743,2.360244,1,2,2,2,1.545391,1.545391
340.741575,354.290801,13.549226,1,3,17,4,1.544816,0.453957
354.772075,366.215953,11.443878,1,3,13,3,2.001668,0.418599
368.800991,382.352815,13.551824,1,3,14,6,2.000452,0.458197
384.83627,385.152719,0.316449,1,3,1,3,0.0,0.0
388.846183,395.887887,7.041704,1,3,10,1,1.545909,0.454688
398.867178,406.410904,7.543726,1,2,8,5,1.982496,0.545448
406.885161,413.791332,6.906171,1,2,7,5,1.544949,0.501941
416.906832,423.946463,7.039631,1,3,8,6,1.544752,0.543397
426.927848,428.291798,1.36395,1,3,2,3,1.047123,1.047123
430.93698,435.257892,4.320912,1,3,7,3,0.998638,0.459846
438.954751,458.515469,19.560718,1,3,25,4,2.001631,0.408843
467.016423,475.385617,8.369194,1,3,7,4,2.00357,0.588106
479.041965,482.407802,3.365837,1,3,5,4,1.044008,0.503591
489.064304,489.880175,0.815871,1,3,1,0,0.0,0.0
495.077647,512.633328,17.555681,1,3,24,4,1.500094,0.45433
515.121646,530.633126,15.51148,1,3,22,5,1.087374,0.415943
533.160774,536.023034,2.86226,1,3,2,2,1.542828,1.542828
539.17365,544.902401,5.728751,1,3,6,4,1.999842,0.488055
549.194716,554.103254,4.908538,1,3,5,3,1.545134,0.544578
557.213046,570.213134,13.000088,1,3,15,6,2.00079,0.452929
573.247073,579.611633,6.36456,1,3,5,5,2.000761,0.955186
583.270493,590.089122,6.818629,1,3,9,1,2.00121,0.453316
593.291638,597.653828,4.36219,1,3,7,3,1.041026,0.45712
601.308497,610.721704,9.413207,1,3,13,2,1.544987,0.498092
613.335114,626.887711,13.552597,1,3,14,7,2.001906,0.499861
629.370406,642.963833,13.593427,1,3,15,9,1.546614,0.454335
643.400766,658.888447,15.487681,1,1,16,6,2.012444,0.4585
661.441052,666.807905,5.366853,1,3,9,2,0.997653,0.454922
673.465668,682.883633,9.417965,1,3,13,3,1.543946,0.457903
685.492758,694.446372,8.953614,1,3,13,2,1.041817,0.454336
697.519367,717.071547,19.55218,1,3,25,7,2.001749,0.409986
717.562989,718.88154,1.318551,1,1,1,1,0.0,0.0
