Rel Start (s),Rel End (s),Interval Duration,Syncs,Acks,Data Packets,Missing Slots,Max Data Gap,Min Data Gap
0.0,2.865082,2.865082,1,3,6,8,1.472738,0.064521
6.002456,8.867284,2.864828,1,3,6,8,1.456601,0.079345
12.005141,14.854946,2.849805,1,3,6,6,1.47252,0.063716
18.023857,20.873435,2.849578,1,3,6,8,1.4411,0.079809
24.027235,26.876748,2.849513,1,3,6,6,1.45702,0.080365
30.030006,32.879302,2.849296,1,3,6,8,1.473415,0.063861
36.033059,38.897846,2.864787,1,3,6,5,1.472861,0.063751
42.035223,44.901229,2.866006,1,3,6,6,1.473526,0.063119
48.037874,50.887253,2.849379,1,3,6,6,1.487839,0.048417
54.041521,56.874107,2.832586,1,3,6,8,1.472727,0.047507
60.044098,62.925386,2.881288,1,3,6,6,1.473131,0.063675
66.046539,68.912013,2.865474,1,3,6,7,1.473013,0.064381
72.065232,74.979041,2.913809,1,3,6,6,1.472562,0.06426
78.068104,80.901739,2.833635,1,3,6,7,1.455777,0.064231
84.070711,86.904841,2.83413,1,3,6,6,1.472134,0.048883
90.07389,92.923265,2.849375,1,3,6,6,1.487651,0.048302
96.076923,98.926499,2.849576,1,3,6,6,1.472218,0.064121
102.079189,104.929437,2.850248,1,3,6,5,1.456873,0.064838
108.082677,110.932208,2.849531,1,3,6,8,1.472958,0.063984
114.08546,116.998812,2.913352,1,3,6,8,1.473369,0.06328
120.104432,122.953247,2.848815,1,3,6,7,1.472997,0.06376
126.106941,128.940691,2.83375,1,3,6,6,1.457062,0.064339
132.109965,134.959492,2.849527,1,3,6,8,1.472683,0.080561
138.112875,140.945908,2.833033,1,3,6,7,1.504961,0.032014
144.115666,146.948655,2.832989,1,3,6,7,1.473507,0.047832
150.118571,152.951708,2.833137,1,3,6,8,1.45626,0.047949
156.1211,158.970831,2.849731,1,3,6,7,1.488809,0.047903
162.123978,164.989628,2.86565,1,3,6,8,1.472599,0.06351
168.126632,170.992394,2.865762,1,3,6,6,1.456331,0.079939
174.14595,176.995266,2.849316,1,3,6,6,1.456319,0.079818
180.148129,182.998449,2.85032,1,3,6,6,1.457365,0.06487
186.151344,189.000714,2.84937,1,3,6,8,1.488857,0.063094
192.154576,194.987832,2.833256,1,3,6,6,1.472635,0.047751
198.157163,201.007168,2.850005,1,3,6,8,1.472962,0.06408
204.160105,207.02587,2.865765,1,3,6,6,1.504504,0.031409
210.162948,213.076021,2.913073,1,3,6,6,1.472589,0.064051
216.165438,219.01482,2.849382,1,3,6,6,1.473006,0.063769
222.184445,225.017947,2.833502,1,3,6,5,1.45726,0.064202
228.187583,231.020852,2.833269,1,3,6,7,1.473256,0.063185
234.190582,237.055851,2.865269,1,3,6,5,1.456793,0.080928
240.193492,243.058869,2.865377,1,3,6,6,1.472715,0.06391
246.195599,249.045362,2.849763,1,3,6,8,1.488922,0.048364
252.198954,255.032441,2.833487,1,3,6,8,1.472181,0.048815
258.201212,261.050503,2.849291,1,3,6,8,1.457555,0.063339
264.203696,267.037382,2.833686,1,3,6,6,1.472356,0.048122
270.207185,273.072447,2.865262,1,3,6,8,1.472063,0.064741
276.226273,279.075914,2.849641,1,3,6,8,1.472791,0.063752
282.228353,285.046666,2.818313,1,3,6,8,1.456574,0.048648
