Rel Start (s),Rel End (s),Interval Duration,Syncs,Acks,Data Packets,Missing Slots,Max Data Gap,Min Data Gap
0.0,0.928327,0.928327,1,3,3,3,0.496439,0.11155
4.017852,4.930557,0.912705,1,3,3,1,0.512051,0.096081
8.019693,8.980219,0.960526,1,3,3,3,0.511356,0.144561
12.022,12.934249,0.912249,1,3,2,3,0.096072,0.096072
14.022821,14.935419,0.912598,1,2,2,1,0.096075,0.096075
18.024787,18.984406,0.959619,1,3,3,1,0.512341,0.143108
20.026171,21.978665,1.952494,1,1,2,1,1.040298,1.040298
24.027776,24.940519,0.912743,1,3,2,4,0.592417,0.592417
28.029381,28.990488,0.961107,1,3,3,1,0.496398,0.144559
32.031512,32.943439,0.911927,1,3,3,1,0.495789,0.095602
34.032468,36.898017,2.865549,1,1,5,1,1.040764,0.04853
40.035659,40.963328,0.927669,1,3,2,1,0.111088,0.111088
44.036899,44.965897,0.928998,1,3,3,3,0.496422,0.112065
48.039489,48.967409,0.92792,1,3,2,1,0.111606,0.111606
52.041258,52.96991,0.928652,1,3,2,1,0.112036,0.112036
56.059371,56.987303,0.927932,1,3,3,1,0.544475,0.079556
60.061333,60.973451,0.912118,1,3,3,1,0.512875,0.095606
64.0629,64.975456,0.912556,1,3,3,3,0.512333,0.096055
68.065008,68.976973,0.911965,1,3,2,2,0.592362,0.592362
72.067191,88.810644,16.743453,1,3,26,0,1.344716,0.111932
94.077764,95.005918,0.928154,1,3,3,1,0.496862,0.111576
98.079292,99.007629,0.928337,1,3,3,2,0.496267,0.11215
102.081156,103.009969,0.928813,1,3,2,2,0.111549,0.111549
106.082881,107.059938,0.977057,1,3,3,3,0.511887,0.144622
110.101593,111.013445,0.911852,1,3,3,0,0.512303,0.095582
114.102982,115.015768,0.912786,1,3,3,1,0.511995,0.09655
116.10431,118.056753,1.952443,1,1,2,1,1.039661,1.039661
120.1064,121.018583,0.912183,1,3,3,1,0.511287,0.096577
124.10762,125.020353,0.912733,1,3,3,2,0.496901,0.095555
128.10993,129.070469,0.960539,1,3,3,2,0.497751,0.143593
132.112001,134.080362,1.968361,1,3,2,2,1.056027,1.056027
136.113781,137.026336,0.912555,1,3,3,1,0.497261,0.095543
138.114417,140.083946,1.969529,1,1,2,1,1.056083,1.056083
142.116396,143.045232,0.928836,1,3,2,1,0.111691,0.111691
144.11796,146.086897,1.968937,1,2,3,2,1.041032,0.111574
148.11974,149.048478,0.928738,1,3,2,0,0.112076,0.112076
152.121352,153.049798,0.928446,1,3,3,2,0.495919,0.11156
156.123462,157.052397,0.928935,1,3,3,1,0.496584,0.112066
160.125345,161.053885,0.92854,1,3,3,1,0.511611,0.09638
164.143968,165.055672,0.911704,1,3,3,3,0.511295,0.096153
168.145524,169.057834,0.91231,1,3,2,3,0.095525,0.095525
172.147276,173.060162,0.912886,1,3,3,2,0.512302,0.096048
174.148804,176.10127,1.952466,1,1,2,1,1.040148,1.040148
178.150793,179.063084,0.912291,1,3,3,1,0.495388,0.09666
182.152629,183.113054,0.960425,1,3,3,1,0.496479,0.143706
186.154049,188.123592,1.969543,1,3,3,3,1.056717,0.095734
190.156513,191.068521,0.912008,1,3,3,1,0.495806,0.096247
194.158049,195.086878,0.928829,1,3,3,1,0.496803,0.112034
198.16066,199.088225,0.927565,1,3,3,1,0.496172,0.112051
202.1626,203.090595,0.927995,1,3,2,2,0.607819,0.607819
206.16377,207.092464,0.928694,1,3,3,3,0.496145,0.112336
210.166358,211.142788,0.97643,1,3,3,2,0.496508,0.160115
214.18401,215.096879,0.912869,1,3,3,3,0.512177,0.09657
218.18608,219.098852,0.912772,1,3,3,2,0.51134,0.097056
222.187969,223.1005,0.912531,1,3,3,0,0.512039,0.09655
226.190301,227.150744,0.960443,1,3,3,3,0.512213,0.14478
230.191772,231.10449,0.912718,1,3,3,1,0.496427,0.096549
234.19416,235.122393,0.928233,1,3,3,3,0.544825,0.064042
238.195076,275.029407,36.834331,1,3,55,2,1.553369,0.095749
278.230784,279.143868,0.913084,1,3,3,2,0.511817,0.096547
282.232892,283.193782,0.96089,1,3,3,3,0.496815,0.144069
286.235042,287.148042,0.913,1,3,3,3,0.496262,0.096543
290.237416,291.149925,0.912509,1,3,3,3,0.496274,0.096052
294.239475,295.152118,0.912643,1,3,3,0,0.495369,0.097078
298.241434,299.185381,0.943947,1,3,3,3,0.544796,0.079429
302.243277,303.171786,0.928509,1,3,2,0,0.112032,0.112032
306.244597,307.18959,0.944993,1,3,3,3,0.544065,0.080232
310.247372,311.175623,0.928251,1,3,2,2,0.112579,0.112579
312.247929,314.216465,1.968536,1,1,2,1,1.040583,1.040583
316.249847,318.219049,1.969202,1,3,3,1,1.040639,0.096071
320.252165,321.180544,0.928379,1,3,3,1,0.511875,0.096557
324.27009,325.182056,0.911966,1,3,3,3,0.512016,0.096073
326.270429,328.223548,1.953119,1,1,2,1,1.040175,1.040175
330.272962,337.091836,6.818874,1,3,10,3,1.536518,0.12748
342.278495,343.19109,0.912595,1,3,2,2,0.096238,0.096238
346.280724,347.192621,0.911897,1,3,3,1,0.496415,0.09604
348.281219,349.210202,0.928983,1,1,1,1,0.0,0.0
350.282047,351.242832,0.960785,1,2,2,1,0.143581,0.143581
354.284933,355.212535,0.927602,1,3,2,3,0.11123,0.11123
358.285991,359.214728,0.928737,1,3,3,3,0.496342,0.111606
362.287768,363.216889,0.929121,1,3,3,3,0.495309,0.11259
366.29073,367.251387,0.960657,1,3,3,3,0.496379,0.144934
