SUMMARY REPORT: Trojan_100_ALL | KNN
Total Packets Collected: 20000
Total Flows Processed: 71
--------------------------------------------------
CONFUSION MATRIX:
True Positives (TP):  50
False Positives (FP): 21
True Negatives (TN):  0
False Negatives (FN): 0
Overall Accuracy: 70.42%
--------------------------------------------------
2026-03-10 18:24:44 | Pred: 1 | Actual: 1 | File: flow_182444_853448.txt
2026-03-10 18:31:17 | Pred: 1 | Actual: 1 | File: flow_183117_279819.txt
2026-03-10 18:31:19 | Pred: 1 | Actual: 1 | File: flow_183119_281507.txt
2026-03-10 18:36:01 | Pred: 1 | Actual: 1 | File: flow_183601_589589.txt
2026-03-10 18:43:26 | Pred: 1 | Actual: 0 | File: flow_184326_128590.txt
2026-03-10 18:45:56 | Pred: 1 | Actual: 1 | File: flow_184556_234895.txt
2026-03-10 18:51:48 | Pred: 1 | Actual: 1 | File: flow_185148_616276.txt
2026-03-10 18:55:32 | Pred: 1 | Actual: 1 | File: flow_185532_860825.txt
2026-03-10 19:02:57 | Pred: 1 | Actual: 0 | File: flow_190257_383294.txt
2026-03-10 19:04:55 | Pred: 1 | Actual: 1 | File: flow_190455_471025.txt
2026-03-10 19:11:59 | Pred: 1 | Actual: 0 | File: flow_191159_952475.txt
2026-03-10 19:18:12 | Pred: 1 | Actual: 1 | File: flow_191812_336089.txt
2026-03-10 19:18:14 | Pred: 1 | Actual: 0 | File: flow_191814_338545.txt
2026-03-10 19:18:42 | Pred: 1 | Actual: 1 | File: flow_191842_368855.txt
2026-03-10 19:32:09 | Pred: 1 | Actual: 0 | File: flow_193209_293861.txt
2026-03-10 19:39:07 | Pred: 1 | Actual: 0 | File: flow_193907_756965.txt
2026-03-10 19:50:44 | Pred: 1 | Actual: 0 | File: flow_195044_490326.txt
2026-03-10 19:50:50 | Pred: 1 | Actual: 1 | File: flow_195050_457205.txt
2026-03-10 19:50:56 | Pred: 1 | Actual: 1 | File: flow_195056_465670.txt
2026-03-10 19:51:02 | Pred: 1 | Actual: 1 | File: flow_195102_471534.txt
2026-03-10 19:51:08 | Pred: 1 | Actual: 1 | File: flow_195108_476939.txt
2026-03-10 19:53:16 | Pred: 1 | Actual: 1 | File: flow_195316_616165.txt
2026-03-10 19:53:22 | Pred: 1 | Actual: 1 | File: flow_195322_623518.txt
2026-03-10 19:53:28 | Pred: 1 | Actual: 1 | File: flow_195328_629672.txt
2026-03-10 20:00:55 | Pred: 1 | Actual: 0 | File: flow_200055_167646.txt
2026-03-10 20:01:01 | Pred: 1 | Actual: 1 | File: flow_200101_122060.txt
2026-03-10 20:01:07 | Pred: 1 | Actual: 1 | File: flow_200107_128290.txt
2026-03-10 20:01:13 | Pred: 1 | Actual: 1 | File: flow_200113_135369.txt
2026-03-10 20:13:09 | Pred: 1 | Actual: 0 | File: flow_201309_967672.txt
