Energy (%),Trojan Offset,KNN,Logistic,Naive,Random,SVM
100 Percent,300ms,0.8264,0.898,0.5965,0.675,0
100 Percent,270ms,0.7042,0.8125,0.8081,0,0
100 Percent,250ms,0.7239,0.9403,0.6833,0.5978,0
100 Percent,220ms,0,0.9702,0.9293,0.8879,0
100 Percent,200ms,0.6231,0.9548,0.7037,0.654,0
100 Percent,180ms,0.6784,0.9718,0.6923,0.6636,0
100 Percent,150ms,0.7049,0.929,0.56,0.75,0
100 Percent,120ms,0.7344,0,0.6383,0.6942,0
100 Percent,80ms,0.6829,0,0.5652,0.6783,0
100 Percent,40ms,0.6774,0,0.6222,0.5841,0
80 Percent,300ms,0.6839,0.4387,0.6854,0.5935,0.8321
80 Percent,270ms,0.7022,0.4331,0.6804,0.643,0.8608
80 Percent,250ms,0.6918,0.8214,0.6683,0.5609,0.9085
80 Percent,220ms,0.6859,0.9189,0.6752,0.5525,0.9484
80 Percent,200ms,0.6793,0.898,0.6533,0.5514,0.9442
80 Percent,180ms,0.612,0.807,0.6562,0.614,0.8701
80 Percent,170ms,0.7151,0.7786,0.6593,0.5925,0.8712
80 Percent,150ms,0.6414,0.2328,0.6667,0.6868,0.0714
80 Percent,120ms,0.7398,0.1221,0.6595,0.7249,0.1918
80 Percent,80ms,0.6935,0.1348,0.6861,0.699,0
80 Percent,40ms,0.7188,0,0.6647,0.6754,0
80 Percent,10ms,0.6679,0.0451,0.6855,0.6632,0.0096
40 Percent,300ms,0.6202,0.6961,0.6151,0.5038,0.754
40 Percent,270ms,0.5806,0.709,0.6277,0.5468,0.7127
