Energy (%),Trojan Offset,KNN,Logistic,Naive,Random,SVM
100 Percent,300ms,0.7042,0.9565,0.425,0.5094,0.0
100 Percent,270ms,0.5435,1.0,0.678,0,0
100 Percent,250ms,0.5673,0.9844,0.519,0.4264,0
100 Percent,220ms,0,0.9919,0.8679,0.8584,0
100 Percent,200ms,0.4526,1.0,0.5429,0.4859,0
100 Percent,180ms,0.5133,0.9773,0.5294,0.4965,0
100 Percent,150ms,0.5443,1.0,0.4,0.6,0
100 Percent,120ms,0.5802,0,0.4688,0.5316,0
100 Percent,80ms,0.5185,0,0.3939,0.5132,0
100 Percent,40ms,0.5122,0,0.4516,0.4125,0
80 Percent,300ms,0.541,0.9833,0.5213,0.4666,0.979
80 Percent,270ms,0.5411,0.9483,0.5156,0.4913,0.9782
80 Percent,250ms,0.5288,0.9817,0.5018,0.4528,0.9923
80 Percent,220ms,0.526,0.9903,0.5106,0.4443,0.9899
80 Percent,200ms,0.5194,0.9952,0.4906,0.4374,0.9929
80 Percent,180ms,0.4442,0.9817,0.4915,0.4681,0.9914
80 Percent,170ms,0.5565,0.9709,0.4938,0.4872,0.9705
80 Percent,150ms,0.4721,0.9643,0.5,0.5243,0.75
80 Percent,120ms,0.587,0.8889,0.4919,0.5686,0.9333
80 Percent,80ms,0.5309,0.8571,0.5222,0.5373,0
80 Percent,40ms,0.5611,0,0.4978,0.5099,0.0
80 Percent,10ms,0.5013,1.0,0.5215,0.4961,0.5
40 Percent,300ms,0.479,0.5495,0.4441,0.3962,0.6358
40 Percent,270ms,0.4384,0.5677,0.4575,0.4167,0.5776
