Energy (%),Trojan Offset,KNN,Logistic,Naive,Random,SVM
100 Percent,300ms,1.0,0.8462,1.0,1.0,0.0
100 Percent,270ms,1.0,0.6842,1.0,0,0
100 Percent,250ms,1.0,0.9,1.0,1.0,0.0
100 Percent,220ms,0,0.9494,1.0,0.9195,0.0
100 Percent,200ms,1.0,0.9136,1.0,1.0,0.0
100 Percent,180ms,1.0,0.9663,1.0,1.0,0.0
100 Percent,150ms,1.0,0.8675,0.9333,1.0,0.0
100 Percent,120ms,1.0,0.0,1.0,1.0,0.0
100 Percent,80ms,1.0,0.0,1.0,1.0,0.0
100 Percent,40ms,1.0,0.0,1.0,1.0,0.0
80 Percent,300ms,0.9295,0.2823,1.0,0.8152,0.7236
80 Percent,270ms,1.0,0.2806,1.0,0.93,0.7686
80 Percent,250ms,1.0,0.7061,1.0,0.7366,0.8377
80 Percent,220ms,0.9857,0.8571,0.9966,0.7304,0.9102
80 Percent,200ms,0.9817,0.8182,0.9775,0.7459,0.9
80 Percent,180ms,0.9835,0.6851,0.9871,0.8919,0.7752
80 Percent,170ms,1.0,0.6498,0.9917,0.756,0.7904
80 Percent,150ms,1.0,0.1324,1.0,0.9951,0.0375
80 Percent,120ms,1.0,0.0656,1.0,1.0,0.1069
80 Percent,80ms,1.0,0.0732,1.0,1.0,0.0
80 Percent,40ms,1.0,0.0,1.0,1.0,0.0
80 Percent,10ms,1.0,0.0231,1.0,1.0,0.0049
40 Percent,300ms,0.8794,0.9495,1.0,0.6919,0.9263
40 Percent,270ms,0.8592,0.944,1.0,0.795,0.9303
