Packet #,Date,Hour,Minute,Second,Partial Seconds,Time Differential,ID,Local Send Time,Sync Flag,Ack Flag,Data
1,2025-07-15,22,25,09,868485,0.0,BB,0,1,0,
2,2025-07-15,22,25,09,901011,0.032526,02,592,0,1,
3,2025-07-15,22,25,09,917191,0.01618,03,719,0,1,
4,2025-07-15,22,25,09,932701,0.01551,01,579,0,1,
5,2025-07-15,22,25,10,189079,0.256378,01,250,0,0,Node 01: Network 2
6,2025-07-15,22,25,10,685288,0.496209,02,750,0,0,Node 02: Network 2
7,2025-07-15,22,25,11,180417,0.495129,03,1250,0,0,Node 03: Network 2
8,2025-07-15,22,25,12,189126,1.008709,01,250,0,0,Node 01: Network 2
9,2025-07-15,22,25,12,686259,0.497133,02,750,0,0,Node 02: Network 2
10,2025-07-15,22,25,13,182199,0.49594,03,1250,0,0,Node 03: Network 2
11,2025-07-15,22,25,14,190646,1.008447,01,250,0,0,Node 01: Network 2
12,2025-07-15,22,25,14,687108,0.496462,02,750,0,0,Node 02: Network 2
13,2025-07-15,22,25,15,182863,0.495755,03,1250,0,0,Node 03: Network 2
14,2025-07-15,22,25,16,190959,1.008096,01,250,0,0,Node 01: Network 2
15,2025-07-15,22,25,16,687316,0.496357,02,750,0,0,Node 02: Network 2
16,2025-07-15,22,25,17,184053,0.496737,03,1250,0,0,Node 03: Network 2
17,2025-07-15,22,25,18,192313,1.00826,01,250,0,0,Node 01: Network 2
18,2025-07-15,22,25,18,688747,0.496434,02,750,0,0,Node 02: Network 2
19,2025-07-15,22,25,19,200892,0.512145,03,1251,0,0,Node 03: Network 2
20,2025-07-15,22,25,20,208817,1.007925,01,250,0,0,Node 01: Network 2
21,2025-07-15,22,25,20,705139,0.496322,02,750,0,0,Node 02: Network 2
22,2025-07-15,22,25,21,201673,0.496534,03,1250,0,0,Node 03: Network 2
23,2025-07-15,22,25,22,209428,1.007755,01,251,0,0,Node 01: Network 2
24,2025-07-15,22,25,22,706423,0.496995,02,750,0,0,Node 02: Network 2
25,2025-07-15,22,25,23,202405,0.495982,03,1250,0,0,Node 03: Network 2
26,2025-07-15,22,25,24,210976,1.008571,01,250,0,0,Node 01: Network 2
27,2025-07-15,22,25,24,706490,0.495514,02,750,0,0,Node 02: Network 2
28,2025-07-15,22,25,25,203128,0.496638,03,1250,0,0,Node 03: Network 2
29,2025-07-15,22,25,26,212002,1.008874,01,250,0,0,Node 01: Network 2
30,2025-07-15,22,25,26,707938,0.495936,02,750,0,0,Node 02: Network 2
31,2025-07-15,22,25,27,203487,0.495549,03,1250,0,0,Node 03: Network 2
32,2025-07-15,22,25,28,212206,1.008719,01,250,0,0,Node 01: Network 2
