Packet #,Date,Hour,Minute,Second,Partial Seconds,Time Differential,ID,Local Send Time,Sync Flag,Ack Flag,Data
1,2025-07-15,17,24,59,060062,0.0,BB,0,1,0,
2,2025-07-15,17,24,59,123872,0.06381,01,625,0,1,
3,2025-07-15,17,24,59,160158,0.036286,02,257,0,1,
4,2025-07-15,17,24,59,171769,0.011611,03,777,0,1,
5,2025-07-15,17,24,59,375765,0.203996,01,250,0,0,Node 01: Network 3
6,2025-07-15,17,24,59,875043,0.499278,02,750,0,0,Node 02: Network 3
7,2025-07-15,17,25,00,378718,0.503675,03,1250,0,0,Node 03: Network 3
8,2025-07-15,17,25,01,378536,0.999818,01,250,0,0,Node 01: Network 3
9,2025-07-15,17,25,01,877438,0.498902,02,750,0,0,Node 02: Network 3
10,2025-07-15,17,25,02,381642,0.504204,03,1250,0,0,Node 03: Network 3
11,2025-07-15,17,25,03,380929,0.999287,01,250,0,0,Node 01: Network 3
12,2025-07-15,17,25,03,877743,0.496814,02,750,0,0,Node 02: Network 3
13,2025-07-15,17,25,04,383509,0.505766,03,1250,0,0,Node 03: Network 3
14,2025-07-15,17,25,05,382924,0.999415,01,250,0,0,Node 01: Network 3
15,2025-07-15,17,25,05,877404,0.49448,02,750,0,0,Node 02: Network 3
16,2025-07-15,17,25,06,385198,0.507794,03,1250,0,0,Node 03: Network 3
17,2025-07-15,17,25,07,384294,0.999096,01,250,0,0,Node 01: Network 3
18,2025-07-15,17,25,07,879332,0.495038,02,750,0,0,Node 02: Network 3
19,2025-07-15,17,25,08,387428,0.508096,03,1250,0,0,Node 03: Network 3
20,2025-07-15,17,25,09,386553,0.999125,01,250,0,0,Node 01: Network 3
21,2025-07-15,17,25,09,879554,0.493001,02,750,0,0,Node 02: Network 3
22,2025-07-15,17,25,10,389491,0.509937,03,1250,0,0,Node 03: Network 3
23,2025-07-15,17,25,11,388894,0.999403,01,250,0,0,Node 01: Network 3
24,2025-07-15,17,25,11,879499,0.490605,02,750,0,0,Node 02: Network 3
25,2025-07-15,17,25,12,391753,0.512254,03,1250,0,0,Node 03: Network 3
26,2025-07-15,17,25,13,391471,0.999718,01,250,0,0,Node 01: Network 3
27,2025-07-15,17,25,13,879995,0.488524,02,750,0,0,Node 02: Network 3
28,2025-07-15,17,25,14,391961,0.511966,03,1250,0,0,Node 03: Network 3
29,2025-07-15,17,25,15,394289,1.002328,01,250,0,0,Node 01: Network 3
30,2025-07-15,17,25,15,881850,0.487561,02,750,0,0,Node 02: Network 3
31,2025-07-15,17,25,16,402427,0.520577,03,1250,0,0,Node 03: Network 3
32,2025-07-15,17,25,18,397154,1.994727,03,1250,0,0,Node 03: Network 3
33,2025-07-15,17,25,19,442243,1.045089,01,250,0,0,Node 01: Network 3
34,2025-07-15,17,25,19,940438,0.498195,02,750,0,0,Node 02: Network 3
35,2025-07-15,17,25,20,399674,0.459236,03,1250,0,0,Node 03: Network 3
36,2025-07-15,17,25,21,444363,1.044689,01,250,0,0,Node 01: Network 3
37,2025-07-15,17,25,21,940432,0.496069,02,750,0,0,Node 02: Network 3
38,2025-07-15,17,25,22,400995,0.460563,03,1250,0,0,Node 03: Network 3
39,2025-07-15,17,25,23,446345,1.04535,01,250,0,0,Node 01: Network 3
40,2025-07-15,17,25,23,941674,0.495329,02,750,0,0,Node 02: Network 3
41,2025-07-15,17,25,24,403782,0.462108,03,1250,0,0,Node 03: Network 3
42,2025-07-15,17,25,25,448928,1.045146,01,250,0,0,Node 01: Network 3
43,2025-07-15,17,25,25,943179,0.494251,02,750,0,0,Node 02: Network 3
44,2025-07-15,17,25,26,405767,0.462588,03,1250,0,0,Node 03: Network 3
45,2025-07-15,17,25,27,450396,1.044629,01,250,0,0,Node 01: Network 3
46,2025-07-15,17,25,27,944412,0.494016,02,750,0,0,Node 02: Network 3
47,2025-07-15,17,25,28,406603,0.462191,03,1250,0,0,Node 03: Network 3
48,2025-07-15,17,25,29,452258,1.045655,01,250,0,0,Node 01: Network 3
49,2025-07-15,17,25,29,943612,0.491354,02,750,0,0,Node 02: Network 3
50,2025-07-15,17,25,30,408220,0.464608,03,1250,0,0,Node 03: Network 3
51,2025-07-15,17,25,31,454804,1.046584,01,250,0,0,Node 01: Network 3
52,2025-07-15,17,25,31,945616,0.490812,02,750,0,0,Node 02: Network 3
53,2025-07-15,17,25,32,410534,0.464918,03,1250,0,0,Node 03: Network 3
54,2025-07-15,17,25,33,457772,1.047238,01,250,0,0,Node 01: Network 3
55,2025-07-15,17,25,33,945682,0.48791,02,750,0,0,Node 02: Network 3
56,2025-07-15,17,25,34,413958,0.468276,03,1250,0,0,Node 03: Network 3
57,2025-07-15,17,25,35,459212,1.045254,01,250,0,0,Node 01: Network 3
58,2025-07-15,17,25,35,945546,0.486334,02,750,0,0,Node 02: Network 3
59,2025-07-15,17,25,36,415184,0.469638,03,1250,0,0,Node 03: Network 3
60,2025-07-15,17,25,37,462092,1.046908,01,250,0,0,Node 01: Network 3
61,2025-07-15,17,25,37,945817,0.483725,02,750,0,0,Node 02: Network 3
62,2025-07-15,17,25,38,417791,0.471974,03,1250,0,0,Node 03: Network 3
63,2025-07-15,17,25,39,462979,1.045188,01,250,0,0,Node 01: Network 3
64,2025-07-15,17,25,39,948735,0.485756,02,750,0,0,Node 02: Network 3
65,2025-07-15,17,25,40,419950,0.471215,03,1250,0,0,Node 03: Network 3
66,2025-07-15,17,25,41,465113,1.045163,01,250,0,0,Node 01: Network 3
67,2025-07-15,17,25,41,949158,0.484045,02,750,0,0,Node 02: Network 3
68,2025-07-15,17,25,42,421055,0.471897,03,1250,0,0,Node 03: Network 3
69,2025-07-15,17,25,43,466987,1.045932,01,250,0,0,Node 01: Network 3
70,2025-07-15,17,25,43,949001,0.482014,02,750,0,0,Node 02: Network 3
71,2025-07-15,17,25,44,422151,0.47315,03,1250,0,0,Node 03: Network 3
72,2025-07-15,17,25,45,469317,1.047166,01,250,0,0,Node 01: Network 3
73,2025-07-15,17,25,45,950845,0.481528,02,750,0,0,Node 02: Network 3
