Packet #,Date,Hour,Minute,Second,Partial Seconds,Time Differential,ID,Local Send Time,Sync Flag,Ack Flag,Data
1,2025-07-14,12,30,19,544150,0.0,BB,0,1,0,
2,2025-07-14,12,30,19,592353,0.048203,02,1719,0,1,
3,2025-07-14,12,30,19,640026,0.047673,01,1053,0,1,
4,2025-07-14,12,30,19,687635,0.047609,03,1404,0,1,
5,2025-07-14,12,30,19,864814,0.177179,01,250,0,0,Node 01: Network 2
6,2025-07-14,12,30,20,360246,0.495432,02,750,0,0,Node 02: Network 2
7,2025-07-14,12,30,20,873161,0.512915,03,1250,0,0,Node 03: Network 2
8,2025-07-14,12,30,21,865085,0.991924,01,250,0,0,Node 01: Network 2
9,2025-07-14,12,30,22,361321,0.496236,02,750,0,0,Node 02: Network 2
10,2025-07-14,12,30,22,873385,0.512064,03,1250,0,0,Node 03: Network 2
11,2025-07-14,12,30,23,866537,0.993152,01,250,0,0,Node 01: Network 2
12,2025-07-14,12,30,24,362193,0.495656,02,750,0,0,Node 02: Network 2
13,2025-07-14,12,30,24,874518,0.512325,03,1250,0,0,Node 03: Network 2
14,2025-07-14,12,30,25,882920,1.008402,01,250,0,0,Node 01: Network 2
15,2025-07-14,12,30,26,378871,0.495951,02,750,0,0,Node 02: Network 2
16,2025-07-14,12,30,26,875118,0.496247,03,1250,0,0,Node 03: Network 2
17,2025-07-14,12,30,27,884099,1.008981,01,250,0,0,Node 01: Network 2
18,2025-07-14,12,30,28,380248,0.496149,02,750,0,0,Node 02: Network 2
19,2025-07-14,12,30,28,875961,0.495713,03,1250,0,0,Node 03: Network 2
20,2025-07-14,12,30,29,884670,1.008709,01,250,0,0,Node 01: Network 2
21,2025-07-14,12,30,30,380303,0.495633,02,750,0,0,Node 02: Network 2
22,2025-07-14,12,30,30,876457,0.496154,03,1250,0,0,Node 03: Network 2
23,2025-07-14,12,30,31,885624,1.009167,01,250,0,0,Node 01: Network 2
24,2025-07-14,12,30,32,381587,0.495963,02,750,0,0,Node 02: Network 2
25,2025-07-14,12,30,32,877836,0.496249,03,1250,0,0,Node 03: Network 2
26,2025-07-14,12,30,33,885337,1.007501,01,250,0,0,Node 01: Network 2
27,2025-07-14,12,30,34,382638,0.497301,02,750,0,0,Node 02: Network 2
28,2025-07-14,12,30,34,878972,0.496334,03,1250,0,0,Node 03: Network 2
29,2025-07-14,12,30,35,902807,1.023835,01,250,0,0,Node 01: Network 2
30,2025-07-14,12,30,36,383208,0.480401,02,750,0,0,Node 02: Network 2
31,2025-07-14,12,30,36,879248,0.49604,03,1250,0,0,Node 03: Network 2
32,2025-07-14,12,30,37,903360,1.024112,01,250,0,0,Node 01: Network 2
33,2025-07-14,12,30,38,384270,0.48091,02,750,0,0,Node 02: Network 2
34,2025-07-14,12,30,38,880389,0.496119,03,1250,0,0,Node 03: Network 2
35,2025-07-14,12,30,39,904689,1.0243,01,250,0,0,Node 01: Network 2
36,2025-07-14,12,30,40,385234,0.480545,02,750,0,0,Node 02: Network 2
37,2025-07-14,12,30,40,880845,0.495611,03,1250,0,0,Node 03: Network 2
38,2025-07-14,12,30,41,905596,1.024751,01,250,0,0,Node 01: Network 2
39,2025-07-14,12,30,42,401669,0.496073,02,750,0,0,Node 02: Network 2
40,2025-07-14,12,30,42,881440,0.479771,03,1250,0,0,Node 03: Network 2
41,2025-07-14,12,30,43,906155,1.024715,01,250,0,0,Node 01: Network 2
42,2025-07-14,12,30,44,402043,0.495888,02,750,0,0,Node 02: Network 2
43,2025-07-14,12,30,44,882071,0.480028,03,1250,0,0,Node 03: Network 2
44,2025-07-14,12,30,45,906735,1.024664,01,250,0,0,Node 01: Network 2
45,2025-07-14,12,30,46,403012,0.496277,02,750,0,0,Node 02: Network 2
46,2025-07-14,12,30,46,883223,0.480211,03,1250,0,0,Node 03: Network 2
47,2025-07-14,12,30,47,923645,1.040422,01,250,0,0,Node 01: Network 2
48,2025-07-14,12,30,48,403725,0.48008,02,750,0,0,Node 02: Network 2
49,2025-07-14,12,30,48,884067,0.480342,03,1250,0,0,Node 03: Network 2
50,2025-07-14,12,30,49,924198,1.040131,01,250,0,0,Node 01: Network 2
51,2025-07-14,12,30,50,404918,0.48072,02,750,0,0,Node 02: Network 2
52,2025-07-14,12,30,50,885242,0.480324,03,1250,0,0,Node 03: Network 2
53,2025-07-14,12,30,51,925643,1.040401,01,250,0,0,Node 01: Network 2
54,2025-07-14,12,30,52,405611,0.479968,02,750,0,0,Node 02: Network 2
55,2025-07-14,12,30,52,886006,0.480395,03,1250,0,0,Node 03: Network 2
56,2025-07-14,12,30,53,925865,1.039859,01,250,0,0,Node 01: Network 2
57,2025-07-14,12,30,54,406955,0.48109,02,750,0,0,Node 02: Network 2
58,2025-07-14,12,30,54,886763,0.479808,03,1250,0,0,Node 03: Network 2
59,2025-07-14,12,30,55,926933,1.04017,01,250,0,0,Node 01: Network 2
60,2025-07-14,12,30,56,407551,0.480618,02,750,0,0,Node 02: Network 2
61,2025-07-14,12,30,56,887160,0.479609,03,1250,0,0,Node 03: Network 2
62,2025-07-14,12,30,57,943078,1.055918,01,250,0,0,Node 01: Network 2
63,2025-07-14,12,30,58,424350,0.481272,02,750,0,0,Node 02: Network 2
64,2025-07-14,12,30,58,888532,0.464182,03,1250,0,0,Node 03: Network 2
65,2025-07-14,12,30,59,944459,1.055927,01,250,0,0,Node 01: Network 2
66,2025-07-14,12,31,00,425052,0.480593,02,750,0,0,Node 02: Network 2
67,2025-07-14,12,31,00,904677,0.479625,03,1250,0,0,Node 03: Network 2
68,2025-07-14,12,31,01,945393,1.040716,01,250,0,0,Node 01: Network 2
69,2025-07-14,12,31,02,424815,0.479422,02,750,0,0,Node 02: Network 2
70,2025-07-14,12,31,02,905735,0.48092,03,1250,0,0,Node 03: Network 2
71,2025-07-14,12,31,03,948881,1.043146,01,250,0,0,Node 01: Network 2
72,2025-07-14,12,31,04,426631,0.47775,02,750,0,0,Node 02: Network 2
73,2025-07-14,12,31,04,906703,0.480072,03,1250,0,0,Node 03: Network 2
74,2025-07-14,12,31,05,946775,1.040072,01,250,0,0,Node 01: Network 2
75,2025-07-14,12,31,06,427246,0.480471,02,750,0,0,Node 02: Network 2
76,2025-07-14,12,31,06,907318,0.480072,03,1250,0,0,Node 03: Network 2
77,2025-07-14,12,31,07,963487,1.056169,01,250,0,0,Node 01: Network 2
78,2025-07-14,12,31,08,428044,0.464557,02,750,0,0,Node 02: Network 2
79,2025-07-14,12,31,08,907987,0.479943,03,1250,0,0,Node 03: Network 2
80,2025-07-14,12,31,09,964419,1.056432,01,250,0,0,Node 01: Network 2
81,2025-07-14,12,31,10,428454,0.464035,02,750,0,0,Node 02: Network 2
82,2025-07-14,12,31,10,908660,0.480206,03,1250,0,0,Node 03: Network 2
83,2025-07-14,12,31,11,965614,1.056954,01,250,0,0,Node 01: Network 2
84,2025-07-14,12,31,12,429361,0.463747,02,750,0,0,Node 02: Network 2
85,2025-07-14,12,31,12,909632,0.480271,03,1250,0,0,Node 03: Network 2
86,2025-07-14,12,31,13,966596,1.056964,01,250,0,0,Node 01: Network 2
87,2025-07-14,12,31,14,431016,0.46442,02,750,0,0,Node 02: Network 2
88,2025-07-14,12,31,14,910783,0.479767,03,1250,0,0,Node 03: Network 2
89,2025-07-14,12,31,15,967408,1.056625,01,250,0,0,Node 01: Network 2
90,2025-07-14,12,31,16,447578,0.48017,02,750,0,0,Node 02: Network 2
91,2025-07-14,12,31,16,911296,0.463718,03,1250,0,0,Node 03: Network 2
92,2025-07-14,12,31,17,984109,1.072813,01,250,0,0,Node 01: Network 2
93,2025-07-14,12,31,18,448021,0.463912,02,750,0,0,Node 02: Network 2
94,2025-07-14,12,31,18,912280,0.464259,03,1250,0,0,Node 03: Network 2
95,2025-07-14,12,31,19,984981,1.072701,01,250,0,0,Node 01: Network 2
96,2025-07-14,12,31,20,449362,0.464381,02,750,0,0,Node 02: Network 2
97,2025-07-14,12,31,20,913331,0.463969,03,1250,0,0,Node 03: Network 2
98,2025-07-14,12,31,21,985517,1.072186,01,250,0,0,Node 01: Network 2
99,2025-07-14,12,31,22,450140,0.464623,02,750,0,0,Node 02: Network 2
100,2025-07-14,12,31,22,914185,0.464045,03,1250,0,0,Node 03: Network 2
101,2025-07-14,12,31,23,986960,1.072775,01,250,0,0,Node 01: Network 2
102,2025-07-14,12,31,24,449810,0.46285,02,750,0,0,Node 02: Network 2
103,2025-07-14,12,31,24,915241,0.465431,03,1250,0,0,Node 03: Network 2
104,2025-07-14,12,31,25,987228,1.071987,01,250,0,0,Node 01: Network 2
105,2025-07-14,12,31,26,451935,0.464707,02,750,0,0,Node 02: Network 2
106,2025-07-14,12,31,26,915568,0.463633,03,1250,0,0,Node 03: Network 2
107,2025-07-14,12,31,28,004315,1.088747,01,250,0,0,Node 01: Network 2
108,2025-07-14,12,31,28,452328,0.448013,02,750,0,0,Node 02: Network 2
109,2025-07-14,12,31,28,916272,0.463944,03,1250,0,0,Node 03: Network 2
110,2025-07-14,12,31,30,005413,1.089141,01,250,0,0,Node 01: Network 2
111,2025-07-14,12,31,30,453277,0.447864,02,750,0,0,Node 02: Network 2
112,2025-07-14,12,31,30,917096,0.463819,03,1250,0,0,Node 03: Network 2
113,2025-07-14,12,31,32,005037,1.087941,01,250,0,0,Node 01: Network 2
114,2025-07-14,12,31,32,470139,0.465102,02,750,0,0,Node 02: Network 2
115,2025-07-14,12,31,32,917718,0.447579,03,1250,0,0,Node 03: Network 2
116,2025-07-14,12,31,34,006326,1.088608,01,250,0,0,Node 01: Network 2
117,2025-07-14,12,31,34,470983,0.464657,02,750,0,0,Node 02: Network 2
118,2025-07-14,12,31,34,918839,0.447856,03,1250,0,0,Node 03: Network 2
119,2025-07-14,12,31,36,023022,1.104183,01,250,0,0,Node 01: Network 2
120,2025-07-14,12,31,36,487268,0.464246,02,750,0,0,Node 02: Network 2
121,2025-07-14,12,31,36,920180,0.432912,03,1250,0,0,Node 03: Network 2
122,2025-07-14,12,31,38,024135,1.103955,01,250,0,0,Node 01: Network 2
123,2025-07-14,12,31,38,472227,0.448092,02,750,0,0,Node 02: Network 2
124,2025-07-14,12,31,38,936233,0.464006,03,1250,0,0,Node 03: Network 2
125,2025-07-14,12,31,40,025137,1.088904,01,250,0,0,Node 01: Network 2
126,2025-07-14,12,31,40,473188,0.448051,02,750,0,0,Node 02: Network 2
127,2025-07-14,12,31,40,936849,0.463661,03,1250,0,0,Node 03: Network 2
128,2025-07-14,12,31,42,025365,1.088516,01,250,0,0,Node 01: Network 2
129,2025-07-14,12,31,42,473734,0.448369,02,750,0,0,Node 02: Network 2
130,2025-07-14,12,31,42,938265,0.464531,03,1250,0,0,Node 03: Network 2
131,2025-07-14,12,31,44,026870,1.088605,01,250,0,0,Node 01: Network 2
132,2025-07-14,12,31,44,474648,0.447778,02,750,0,0,Node 02: Network 2
133,2025-07-14,12,31,44,939120,0.464472,03,1250,0,0,Node 03: Network 2
134,2025-07-14,12,31,46,027715,1.088595,01,250,0,0,Node 01: Network 2
135,2025-07-14,12,31,46,475982,0.448267,02,750,0,0,Node 02: Network 2
136,2025-07-14,12,31,46,939759,0.463777,03,1250,0,0,Node 03: Network 2
137,2025-07-14,12,31,48,028155,1.088396,01,250,0,0,Node 01: Network 2
138,2025-07-14,12,31,48,492473,0.464318,02,750,0,0,Node 02: Network 2
139,2025-07-14,12,31,48,940965,0.448492,03,1250,0,0,Node 03: Network 2
140,2025-07-14,12,31,50,045051,1.104086,01,250,0,0,Node 01: Network 2
141,2025-07-14,12,31,50,492915,0.447864,02,750,0,0,Node 02: Network 2
142,2025-07-14,12,31,50,941716,0.448801,03,1250,0,0,Node 03: Network 2
143,2025-07-14,12,31,52,046066,1.10435,01,250,0,0,Node 01: Network 2
144,2025-07-14,12,31,52,493599,0.447533,02,750,0,0,Node 02: Network 2
