Packet #,Date,Hour,Minute,Second,Partial Seconds,Time Differential,ID,Local Send Time,Sync Flag,Ack Flag,Data
1,2025-11-11,18,31,50,348178,0.0,BB,0,1,0,
2,2025-11-11,18,31,50,394194,0.046016,01,912,0,1,
3,2025-11-11,18,31,50,407194,0.013,02,996,0,1,
4,2025-11-11,18,31,50,502737,0.095543,03,1003,0,1,
5,2025-11-11,18,31,50,664350,0.161613,01,250,0,0,Node 01: Network 1
6,2025-11-11,18,31,51,163303,0.498953,02,750,0,0,Node 02: Network 1
7,2025-11-11,18,31,51,506037,0.342734,03,1250,0,0,Node 03: Network 1
8,2025-11-11,18,31,52,710082,1.204045,01,250,0,0,Node 01: Network 1
9,2025-11-11,18,31,53,165864,0.455782,02,750,0,0,Node 02: Network 1
10,2025-11-11,18,31,53,508564,0.3427,03,1250,0,0,Node 03: Network 1
11,2025-11-11,18,31,54,714097,1.205533,01,250,0,0,Node 01: Network 1
12,2025-11-11,18,31,55,167359,0.453262,02,750,0,0,Node 02: Network 1
13,2025-11-11,18,31,55,509578,0.342219,03,1250,0,0,Node 03: Network 1
14,2025-11-11,18,31,56,712836,1.203258,01,250,0,0,Node 01: Network 1
15,2025-11-11,18,31,57,169731,0.456895,02,750,0,0,Node 02: Network 1
16,2025-11-11,18,31,57,511924,0.342193,03,1251,0,0,Node 03: Network 1
17,2025-11-11,18,31,58,716985,1.205061,01,250,0,0,Node 01: Network 1
18,2025-11-11,18,31,59,172571,0.455586,02,750,0,0,Node 02: Network 1
19,2025-11-11,18,31,59,603376,0.430805,03,1250,0,0,Node 03: Network 1
20,2025-11-11,18,32,00,647466,1.04409,01,250,0,0,Node 01: Network 1
21,2025-11-11,18,32,01,174264,0.526798,02,750,0,0,Node 02: Network 1
22,2025-11-11,18,32,01,605183,0.430919,03,1250,0,0,Node 03: Network 1
23,2025-11-11,18,32,02,719803,1.11462,01,250,0,0,Node 01: Network 1
24,2025-11-11,18,32,03,175215,0.455412,02,750,0,0,Node 02: Network 1
25,2025-11-11,18,32,03,606023,0.430808,03,1250,0,0,Node 03: Network 1
26,2025-11-11,18,32,04,724466,1.118443,01,250,0,0,Node 01: Network 1
27,2025-11-11,18,32,05,268393,0.543927,02,750,0,0,Node 02: Network 1
28,2025-11-11,18,32,05,608025,0.339632,03,1250,0,0,Node 03: Network 1
29,2025-11-11,18,32,06,727799,1.119774,01,250,0,0,Node 01: Network 1
30,2025-11-11,18,32,07,270461,0.542662,02,750,0,0,Node 02: Network 1
31,2025-11-11,18,32,07,608178,0.337717,03,1250,0,0,Node 03: Network 1
32,2025-11-11,18,32,08,730222,1.122044,01,250,0,0,Node 01: Network 1
